r_code,region,comm_code,community
7,Brong Ahafo Region,3709,New Konkompe
7,Brong Ahafo Region,3710,Nkranza Adehyeman
7,Brong Ahafo Region,3711,Techiman Zabo Zongo
7,Brong Ahafo Region,3712,Jema
7,Brong Ahafo Region,3713,Dechem
6,Ashanti Region,3714,Dominase
8,Northern Region,3801,Gumani
8,Northern Region,3802,Kalpohini
8,Northern Region,3803,Vitin
8,Northern Region,3804,Nakpanzoo
8,Northern Region,3805,Choggu
8,Northern Region,3806,Kukuo
8,Northern Region,3808,Nyohini
8,Northern Region,3809,Shishegu
8,Northern Region,3812,Tamalgu
8,Northern Region,3815,Kpalbe
8,Northern Region,3817,Wulensi
8,Northern Region,3818,Balogu
8,Northern Region,3819,Kamina Barracks
8,Northern Region,3820,Lameshegu
8,Northern Region,3827,Sakpa
8,Northern Region,3829,Grupe
8,Northern Region,3830,T.Poly Kpalsi
9,Upper East Region,3909,Binduri
2,Central Region,4202,Awutu  Breku
2,Central Region,4203,Assin Praso(Armah Champ)
2,Central Region,4204,Twifo Praso(Ayekrom Akutuase)
2,Central Region,4208,Kasoa
2,Central Region,4209,Akoley Colomba Area
3,Greater Accra Region,4304,Kwabenya
4,Volta Region,4401,Hohoe Gbi Kpeme
4,Volta Region,4402,Dzemeni
4,Volta Region,4403,Obanda
4,Volta Region,4404,Dodo Amanfrom
4,Volta Region,4405,Suife-Agbodakofe
4,Volta Region,4406,Bator
4,Volta Region,4408,Krachikura
5,Eastern Region,4501,Akim Oda(Bankagyei)
5,Eastern Region,4502,Apinamang
6,Ashanti Region,4602,Obuasi Nib
6,Ashanti Region,4603,Akyawkrom
6,Ashanti Region,4604,Sawua
6,Ashanti Region,4605,Tanoso Police Station
6,Ashanti Region,4606,Abrepo-Asubonteng
6,Ashanti Region,4607,Sabin Akrofrom(Trede)
6,Ashanti Region,4615,Apemso
6,Ashanti Region,4616,Fankyenebra
7,Brong Ahafo Region,4701,Bredi
7,Brong Ahafo Region,4703,Ntankrom
8,Northern Region,4806,Dikpung
9,Upper East Region,4811,Kongo
10,Upper West Region,31004,Samatugu
10,Upper West Region,31006,Kusinjan- Tumu
10,Upper West Region,31008,Seng
6,Ashanti Region,31010,Abira
3,Greater Accra Region,31011,Ablekuma
6,Ashanti Region,31012,Abontem
2,Central Region,31013,Aboom
6,Ashanti Region,31014,Abuasu Poly
3,Greater Accra Region,31015,Achiama
3,Greater Accra Region,31016,Adabraka
6,Ashanti Region,31017,Adagya Esereso
6,Ashanti Region,31018,Adeikrom
3,Greater Accra Region,31019,Adenta
6,Ashanti Region,31020,Adiebeba
3,Greater Accra Region,31021,Adjei Kotoku
6,Ashanti Region,31022,Adobewura-Aunty Janny
3,Greater Accra Region,31023,Agbliza Teshie
3,Greater Accra Region,31024,Agege
3,Greater Accra Region,31025,Agege Zone 6
6,Ashanti Region,31026,Agona
1,Western Region,31027,Agona Amenfi
7,Brong Ahafo Region,31028,Ahenfi Numer 1
6,Ashanti Region,31029,Ahinsan
3,Greater Accra Region,31031,Akoto Lambtey
5,Eastern Region,31032,Akropong
6,Ashanti Region,31033,Akwasua-Maase
6,Ashanti Region,31034,Akwatia Line 19 Ste
6,Ashanti Region,31035,Amakom
3,Greater Accra Region,31036,Amamfrom Baron
5,Eastern Region,31037,Amankwahkrom
6,Ashanti Region,31038,Amansie Hotel Junction
3,Greater Accra Region,31039,Amarhia
3,Greater Accra Region,31040,Amasaman
5,Eastern Region,31041,Ankyiase
2,Central Region,31042,Ansahful
3,Greater Accra Region,31043,Antie Aku
5,Eastern Region,31044,Anwna Town
3,Greater Accra Region,31045,Apenkwa
6,Ashanti Region,31046,Aplabo
6,Ashanti Region,31047,Asaman/Mpesempese
5,Eastern Region,31048,Asesewa
3,Greater Accra Region,31049,Ashiaman
6,Ashanti Region,31050,Asokore Mampong
6,Ashanti Region,31051,Asuo Yeboah
6,Ashanti Region,31052,Asuofia Achiase
6,Ashanti Region,31053,Asuofia Amanfrom
6,Ashanti Region,31054,Asuofia-Asaman
5,Eastern Region,31055,Ata Ne Ata
7,Brong Ahafo Region,31056,Atekyemu
5,Eastern Region,31057,Atetsem
6,Ashanti Region,31058,Atima Deikurom
6,Ashanti Region,31059,Atonsu Kuwait
6,Ashanti Region,31060,Atwima Techiman
6,Ashanti Region,31061,Atwima-Agogo
3,Greater Accra Region,31062,Awulekwa
3,Greater Accra Region,31063,Ayetepa
